University,Major,Application Completed,Decision ,Result,GRE_Quant,GRE_Verbal,GRE_Total,GRE_AWA,TOEFL,IELTS,UG_Score,Scale
University of Texas at Dallas,Software Engineering,09-10-2014,10/29/2014,Admit,158,145,303,3,95,0,8.13,10
Northeastern University,Computer Science,12/16/2014,12/23/2014,Admit,154,162,316,4.5,113,0,8.06,10
Stevens Institute of Technology,Information Systems,10/31/2014,12-01-2014,Admit,151,140,291,2.5,78,6.5,5.6,10
Valparaiso University,Information Technology,11/13/2014,12-12-2014,Admit,147,136,283,2.5,72,6,6.4,10
University of South Florida,Computer Science,12-10-2014,01-07-2015,Admit,162,149,311,3.5,107,0,8,10
University of Illinois Chicago,Computer Science,10/27/2014,01-06-2015,Admit,168,155,323,4,109,0,7.31,10
New Jersey Institute of Technology,Computer Science,11/26/2014,01-08-2015,Admit,156,150,306,4,108,0,8.5,10
Missouri University of Science & Technology,Computer Science,01-07-2015,01-09-2015,Admit,161,148,309,3.5,103,0,8.1,10
University of Illinois Springfield,Information Systems Management,11/22/2014,01-05-2015,Admit,137,143,280,2.5,85,0,7.8,10
Arizona State University,Cyber Security,11/28/2014,12-12-2014,Admit,162,150,312,3.5,91,0,7.17,10
Lamar University,Computer Science,12-12-2014,01-09-2015,Admit,155,135,290,3,80,0,7.3,10
Lamar University,Computer Science,12-12-2014,01-09-2015,Admit,155,135,290,3,80,0,7.3,10
Lamar University,Computer Science,12-12-2014,01-09-2015,Admit,155,135,290,3,80,0,7.3,10
Bradley University,Computer Science,11-12-2014,01-05-2015,Admit,155,140,295,3,78,6.5,8.2,10
University of Texas at Dallas,Computer Science,11/20/2014,1/13/2015,Admit,164,151,315,3,100,0,8.5,10
University of Minnesota - Twin Cities,Information Technology,12/13/2014,1/13/2015,Admit,157,154,311,4,110,0,6.7,10
Stevens Institute of Technology,Information Systems,01-07-2015,01-12-2015,Admit,162,146,308,3.5,103,0,6.9,10
University of Texas at Dallas,Computer Science,11/27/2014,01-12-2015,Admit,161,146,307,4,103,0,7.012,10
New Jersey Institute of Technology,Computer Science,11/17/2014,12/21/2014,Admit,167,145,312,3,90,7.5,9.15,10
Alabama A&M University,Computer Information Systems,02-01-2014,1/13/2015,Admit,170,170,340,6,120,0,10,10
New York Institute of Technology,Computer Science,11/26/2014,12/24/2014,Admit,151,139,290,2.5,72,6,7.7,10
Northeastern University,Computer Science,11-10-2014,12/23/2014,Admit,157,148,305,3.5,104,0,8.55,10
Northeastern University,Computer Science,11-01-2014,12/23/2014,Admit,167,147,314,4,107,0,8.12,10
University of Illinois Chicago,Management Information Systems,10/22/2014,12/16/2014,Admit,163,150,313,3,90,7.5,6.71,10
Rochester Institute of Technology,Computer Science,11/30/2014,12/25/2014,Admit,155,146,301,3,91,0,6.9,10
Texas A&M University College Station,Management Information Systems,11-10-2014,1/14/2015,Admit,166,153,319,3.5,100,0,9.37,10
University of Illinois Chicago,Management Information Systems,10/17/2014,10/30/2014,Admit,166,153,319,3.5,100,0,9.37,10
University of Illinois Chicago,Management Information Systems,11-01-2014,12/16/2014,Admit,158,162,320,4,109,0,8.68,10
University of Pennsylvania,Management Information Systems,11/13/2014,12/23/2014,Admit,156,150,306,3.5,103,0,6.93,10
Washington State University,Computer Science,11-07-2014,1/13/2015,Admit,152,140,292,2.5,87,0,7.65,10
Kent State University,Digital Science,11/13/2014,01-12-2015,Admit,147,136,283,2.5,72,6,6.4,10
NONE OF THE ABOVE,Computer Science,12-04-2014,12-09-2014,Admit,168,152,320,3.5,106,0,8.41,10
Stevens Institute of Technology,Computer Science,12/22/2014,01-06-2015,Admit,154,139,293,2.5,74,0,6.3,10
University of Massachusetts Lowell,Computer Science,12/20/2014,01-12-2015,Admit,155,146,301,3.5,97,0,7.2,10
Texas A&M University College Station,Management Information Systems,11-12-2014,12/13/2014,Admit,163,159,322,3,101,0,8.3,10
University of Minnesota - Twin Cities,Management Information Systems,12-03-2014,1/15/2015,Admit,167,151,318,3.5,98,0,8.6,10
University of Central Florida,Computer Science,11/24/2014,1/15/2015,Admit,156,146,302,2.5,84,7,6.7,10
University of Massachusetts Amherst,Computer Engineering,11/17/2014,12/17/2014,Admit,161,155,316,3,102,0,8.7,10
University of Minnesota - Twin Cities,Computer Science,12-03-2014,1/25/2015,Admit,158,151,309,4,94,0,6.69,10
George Mason University,Computer Science,11/19/2014,12-03-2014,Admit,160,149,309,3,99,0,7.97,10
Michigan Technological University,Computer Science,1/14/2015,01-10-2015,Admit,160,149,309,3,99,0,7.97,10
University of Minnesota - Twin Cities,Information Systems Management,12/16/2014,1/15/2015,Admit,167,155,322,4,110,0,8.01,10
Northeastern University,Computer Science,11/20/2014,12/23/2014,Admit,156,149,305,3,101,0,8.199,10
University of Arkansas at Little Rock,Information Quality,9/13/2014,9/30/2014,Admit,158,148,306,3,78,6.5,7.1,10
University of Illinois Chicago,Management Information Systems,12-06-2014,01-05-2015,Admit,160,151,311,3,104,0,8.1,10
SUNY Buffalo,Management Information Systems,11/14/2014,01-06-2015,Admit,160,151,311,3,104,0,8.1,10
University of Pennsylvania,Computer Science,11/20/2014,01-12-2015,Admit,166,142,308,2.5,91,0,7.1,10
NONE OF THE ABOVE,Computer Science,10/20/2015,1/16/2015,Admit,163,157,320,4,111,0,9.2,10
University of Maryland College Park,Management Information Systems,11/14/2014,1/20/2015,Admit,167,155,322,4,110,0,8.01,10
University of California - San Diego,Computer Science,11/29/2014,1/21/2015,Admit,154,140,294,3,89,0,7,10
Cleveland State University,Computer Science,11/26/2014,12/19/2014,Admit,159,139,298,3,72,6,7,10
University of North Carolina at Charlotte,Computer Science,11/24/2014,1/23/2015,Admit,160,149,309,3.5,99,0,7.97,10
NONE OF THE ABOVE,Computer Science,11-09-2014,1/24/2015,Admit,170,165,335,4.5,115,0,8.38,10
Michigan Technological University,Computer Science,11-05-2014,12-11-2014,Admit,160,150,310,3,105,0,6.5,10
NONE OF THE ABOVE,Computer Science,11/21/2014,1/24/2015,Admit,162,158,320,3.5,112,0,9.67,10
University of Florida,Information Systems Management,12/27/2014,1/20/2015,Admit,161,149,310,3,102,0,7.08,10
University of Central Missouri,Computer Science,12-03-2014,1/25/2015,Admit,151,139,290,2,72,6,7.3,10
Northeastern University,Computer Science,11/25/2014,12/23/2014,Admit,161,148,309,3,102,0,9.05,10
NONE OF THE ABOVE,Computer Science,12/14/2014,1/23/2015,Admit,168,160,328,4,110,0,8.24,10
University of Texas at Arlington,Computer Science,12/15/2014,1/28/2015,Admit,160,148,308,3,96,8,8.2,10
University of Texas at Arlington,Computer Science,1/16/2015,1/27/2015,Admit,155,144,299,3,72,6,7.99,10
